대여소_ID,주소1,주소2,위도,경도
1664,서울특별시 광진구 천호대로 716,아차산 휴먼시아 아파트 옆,37.548489,127.093758
1663,서울특별시 광진구 뚝섬로 639,중앙농협(자양동),37.531811,127.080742
1662,서울특별시 광진구 용마산로 63,중곡사거리(국민은행),37.559158,127.087517
1661,서울특별시 광진구 아차산로 238,,37.540081,127.069565
1660,서울특별시 광진구 능동로 92 롯데백화점,,37.539295,127.070786
1603,서울특별시 광진구 능동로 216,어린이대공원정문,37.549789,127.075928
1602,서울특별시 광진구 아차산로78길 90,광진정보도서관,37.550598,127.110512
1429,서울특별시 광진구 능동로 120,건국대학교 과학관(이과대) 앞,37.541718,127.08017
1428,서울특별시 광진구 군자로 114,세종대학교,37.550236,127.073822
1427,서울특별시 광진구 용마산로32길 32,중곡SK아파트앞,37.568649,127.08625
1379,서울특별시 광진구 아차산로69길 29,현대홈타운 뒷길,37.543427,127.096619
1378,서울특별시 광진구 자양로 167,광진경찰서,37.542519,127.084084
1271,서울특별시 광진구 광나루로 548-2 구두수선대 - 10,,37.543842,127.0933
1266,서울특별시 광진구 능동로 373,용마사거리,37.562527,127.082275
1263,서울특별시 광진구 천호대로 지하 550,군자역 7번출구 뒤,37.556862,127.07914
1194,서울특별시 광진구 군자동 111-2,세종사이버대학교,37.553417,127.073196
1193,서울특별시 광진구 화양동 21-6,화양사거리,37.548222,127.067879
1192,서울특별시 광진구 능동 465-7,어린이회관,37.545952,127.078003
1191,서울특별시 광진구 자양동 203-22,영동대교 북단,37.537014,127.061096
114,서울특별시 광진구 광나루로 355,광진메디컬앞,37.548405,127.069366
113,서울특별시 광진구 자양로3길 7,광양중학교 앞,37.530235,127.08683
102,서울특별시 광진구 아차산로 355,타워더모스트 광진아크로텔,37.53701,127.082245
101,서울특별시 광진구 뚝섬로 596,신자초교입구교차로,37.53297,127.075935
100,서울특별시 광진구 아차산로 262,더샵스타시티 C동 앞,37.536667,127.073593
