station_id,station_number,station_display_name,timestamp,latitude,longitude,available_bikes,station_capacity,available_racks,is_stockout,hour,day_of_week,is_weekend,air_quality_pm10,air_quality_pm25,air_quality_o3,air_quality_no2,air_quality_co,air_quality_so2,air_quality_data_time,air_source,temperature,humidity,precipitation,wind_speed,is_raining,weather_severity,weather_timestamp,weather_source
ST-388,577,광진청소년수련관,2025-11-25 15:19:27.953038,37.54654694,127.10613251,13,10,-3,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-445,584,광진광장 교통섬,2025-11-25 15:19:27.953038,37.54782867,127.07263184,21,20,-1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-483,588,뚝섬 유원지역,2025-11-25 15:19:27.953038,37.53268814,127.06749725,5,20,15,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-972,590,건국대학교 (입학정보관),2025-11-25 15:19:27.953038,37.53989029,127.07336426,13,20,7,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-973,591,건국대학교 (행정관),2025-11-25 15:19:27.953038,37.54277802,127.07537079,9,5,-4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-974,592,건국대학교 학생회관,2025-11-25 15:19:27.953038,37.54191208,127.07763672,31,30,-1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-980,593,자양중앙나들목,2025-11-25 15:19:27.953038,37.52845383,127.07803345,4,8,4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-381,555,구의3동주민센터,2025-11-26 11:09:26.194176,37.53784943,127.09217072,3,9,6,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-378,552,대림아크로리버 앞,2025-11-26 14:29:25.973806,37.53657913,127.0929718,12,9,-3,0,14,2,0,,,,,,,,,9.4,49.0,0.0,2.1,0,0,,KMA_UltraSrtNcst
ST-379,553,중곡 성원아파트 앞,2025-11-26 14:29:25.973806,37.57125473,127.07980347,11,19,8,0,14,2,0,,,,,,,,,9.4,49.0,0.0,2.1,0,0,,KMA_UltraSrtNcst
ST-382,571,세종대학교 대양AI센터,2025-11-26 11:09:26.194176,37.55039597,127.07585907,43,20,-23,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-384,573,구의문주차장 앞,2025-11-26 11:09:26.194176,37.54523087,127.08473206,4,10,6,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-385,574,아차산역4번출구,2025-11-26 11:09:26.194176,37.55184937,127.08898163,12,22,10,0,11,2,0,,,,,,,,,8.5,52.0,0.0,1.0,0,0,,KMA_UltraSrtNcst
ST-983,3500,군자역2번출구,2025-11-25 15:19:27.953038,37.55758667,127.07969666,12,7,-5,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-984,3501,K&S빌딩 앞,2025-11-25 15:19:27.953038,37.53950119,127.08300018,0,10,10,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
